Model,Accuracy,F1 (Weighted),F1 (Neutral)
Logistic Regression (Baseline),0.7783847302061168,0.7965,0.3293
Logistic Regression (Tuned),0.7785117667608854,0.7963,0.3287
Linear SVM,0.838282465779528,0.8429300489387319,0.3516311779644462
Linear SVM (Tuned),0.8463175278686442,0.8482659460944064,0.3663528448628735
Naive Bayes,0.8242766856162861,0.7742552815914817,0.04158173664900122
Naive Bayes (Tuned),0.825864642550894,0.7772316938145181,0.05018211250505868
Random Forest,0.7803855559437228,0.8073811506560283,0.3389527458492976
XGBoost,0.7933432845301236,0.7152640379557448,0.01659062629614268
